car,brand,model,year,plate,rut,birthdate,comune,email,celular
KIA SORENTO,KIA,SORENTO,2021,PKZL55,15625542-4,21-12-1983,Temuco,kmckenzie0.143150501892063@gmail.com,910327103
TOYOTA AURIS,TOYOTA,AURIS,2016,HZFP42,18576734-5,17-06-1993,Puente Alto,kpratt0.70110721969974@gmail.com,915476154
SUBARU FORESTER,SUBARU,FORESTER,2016,HTHR56,17853395-9,03-05-1991,Viña del Mar,srandall0.852197657873797@gmail.com,919678196
KIA SOUL,KIA,SOUL,2021,PKFR35,15352977-9,26-11-1982,Providencia,swest0.371895860412838@gmail.com,917432174
SUZUKI SWIFT SPORT,SUZUKI,SWIFT SPORT,2016,HVPG69,17284681-5,09-02-1990,Maipú,aharrell0.583862912853805@gmail.com,912484124
MITSUBISHI ASX,MITSUBISHI,ASX,2023,SGLY77,15737992-5,19-11-1982,Viña del Mar,jdeleon0.280125613376429@gmail.com,988908890
PEUGEOT LANDTREK,PEUGEOT,LANDTREK,2022,RLLH33,9810995-1,27-01-1968,Ñuñoa,abridges0.383567283036489@gmail.com,937343734
CHEVROLET SAIL,CHEVROLET,SAIL,2018,KCXK13,17420724-0,25-08-1989,Ñuñoa,avasquez0.679703286700743@gmail.com,913391339
SSANGYONG KORANDO,SSANGYONG,KORANDO,2016,HSKW21,9032795-K,20-03-1962,Lo Barnechea,racosta0.543340701123858@gmail.com,916593165
MITSUBISHI NEW OUTLANDER,MITSUBISHI,NEW OUTLANDER,2020,LXYX97,6737405-3,08-01-1956,San Miguel,jfrench0.883452397709732@gmail.com,977957795
CHANGAN CS35,CHANGAN,CS35,2020,LLPK93,14366302-7,17-08-1968,Iquique,msmall0.0463759607791201@gmail.com,918369183
MITSUBISHI ASX,MITSUBISHI,ASX,2021,RDHS16,7790984-2,04-12-1956,Lo Barnechea,cdavila0.374638080153531@gmail.com,974277427
KIA RIO 5,KIA,RIO 5,2019,LLTG90,17403889-9,29-11-1989,Antofagasta,qarias0.908649063034357@gmail.com,972477247
HONDA PILOT,HONDA,PILOT,2022,RRJW47,6245349-4,29-07-1953,Coquimbo,cbush0.6589106647482@gmail.com,985038503
OPEL MOKKA,OPEL,MOKKA,2020,PKDB15,12846886-2,21-09-1975,Concepción,apark0.324900124644043@gmail.com,919407194
VOLKSWAGEN NIVUS,VOLKSWAGEN,NIVUS,2021,PPDX15,9269241-8,04-01-1966,Ñuñoa,rschroeder0.899339975804187@gmail.com,912588125
NISSAN SENTRA,NISSAN,SENTRA,2021,PKXB10,11864054-3,07-01-1971,Temuco,lcollier0.112765014587616@gmail.com,915638156
FORD F-150,FORD,F-150,2021,RBSJ62,10788286-3,5-3-1967,Rancagua,jdeleon0.280125613376429@gmail.com,988908890
KIA SPORTAGE,KIA,SPORTAGE,2019,LSYW55,16034315-k,26-06-1985,Las Condes,aconley0.870993236349151@gmail.com,918594185
HONDA WR-V,HONDA,WR-V,2023,SJTG23,11647844-7,24-08-1970,Iquique,pgay0.854205349681164@gmail.com,981238123
SUBARU FORESTER,SUBARU,FORESTER,2015,HFPL35,14354518-0,24-06-1979,La Serena,lwise0.696148077773679@gmail.com,916576165
HAVAL JOLION,HAVAL,JOLION,2021,RBVR34,16145370-6,11-07-1985,Concepción,rdowns0.461749823091405@gmail.com,918039180
RENAULT KOLEOS,RENAULT,KOLEOS,2020,LWJG95,8194798-8,27-06-1958,Rancagua,irowe0.215514175685309@gmail.com,920903209
BAIC X35,BAIC,X35,2017,JVVC16,18057307-0,29-10-1991,Peñalolén,lvasquez0.888876910533502@gmail.com,911547115
TOYOTA HILUX 4X4,TOYOTA,HILUX 4X4,2019,LKSS75,10269056-7,29-09-1981,Viña del Mar,bhardin0.79706549285573@gmail.com,913336133
CHEVROLET SILVERADO,CHEVROLET,SILVERADO,2020,LLKS42,18898058-9,31-10-1994,La Florida,vmcgrath0.682224708139498@gmail.com,916841684
VOLKSWAGEN VOYAGE,VOLKSWAGEN,VOYAGE,2017,JGRY76,11695314-5,15-06-1971,San Miguel,kmckenzie0.143150501892063@gmail.com,910327103
FORD TERRITORY,FORD,TERRITORY,2023,SFKR56,18734488-3,27-03-1994,Santiago,jparker0.0883675601809302@gmail.com,913441344
NISSAN VERSA,NISSAN,VERSA,2019,LCCR92,8684947-k,11-09-1961,La Florida,abarber0.454215015463024@gmail.com,998159815
